filename,model,line_count,job_count,step_count,section_6.1,section_6.2,section_6.3,section_6.4,section_6.5,section_6.6,section_6.7,section_6.8,section_6.9,section_6.10,section_6.11,section_6.12,section_6.13,section_6.14,section_6.15,section_6.16,section_6.17,section_6.18,section_6.19,section_6.20,section_6.21,section_6.22,section_6.23,section_6.24,section_6.25,section_6.26,section_6.27,section_6.28,section_6.29,section_6.30
java/1C-Company@ssl-support/gha_release.yml,gpt-5,77,1,11,NO,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,YES,YES,NO,NO,YES,YES,YES,NO,YES,NOT APPLICABLE,YES,NO,YES,NO,NO,YES,NO,NOT APPLICABLE,YES,YES,NO,NO
java/4drian3d@AuthMeVelocity/gha_gradle.yml,gpt-5,27,1,4,YES,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,NO,NOT APPLICABLE,YES,NO,NOT APPLICABLE,YES,YES,NO,NOT APPLICABLE
java/721806280@lark-notice-plugin/gha_jenkins-security-scan.yml,gpt-5,17,1,1,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,YES,NOT APPLICABLE,NO,NO,YES,YES,NOT APPLICABLE,YES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,YES,NOT APPLICABLE,YES,NO,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,YES
java/ASSERT-KTH@sorald/gha_sorald_buildbreaker.yml,gpt-5,16,1,2,YES,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,NOT APPLICABLE,NOT APPLICABLE,NO,NO,YES,NOT APPLICABLE,YES,NO,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,YES
java/Ahoo-Wang@CosId/gha_benchmark-test.yml,gpt-5,73,3,11,YES,YES,YES,YES,NO,NOT APPLICABLE,NOT APPLICABLE,YES,NO,NO,NO,NO,YES,NOT APPLICABLE,YES,NO,YES,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,NO,YES,NO,NO,NOT APPLICABLE,NO,NO,YES,YES
java/Aiven-Open@jdbc-connector-for-apache-kafka/gha_create_release.yml,gpt-5,74,1,7,YES,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,NO,NO,NO,NO,YES,NOT APPLICABLE,YES,NO,NO,YES,NOT APPLICABLE,NO,NOT APPLICABLE,NO,NO,NO,NO,NOT APPLICABLE,NO,NO,NO,NOT APPLICABLE
java/Aiven-Open@transforms-for-apache-kafka-connect/gha_master_push_and_pull_request_workflow.yml,gpt-5,25,1,3,YES,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,YES,YES,NO,NO,YES,YES,YES,NO,YES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,YES,YES,NO,NOT APPLICABLE,YES,YES,NO,YES
java/Aizistral-Studios@No-Chat-Reports/gha_gitlabsync.yml,gpt-5,17,1,2,NO,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,NO,YES,NOT APPLICABLE,YES,NO,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,NOT APPLICABLE,NO,YES,YES
java/AlexProgrammerDE@PistonQueue/gha_gradle.yml,gpt-5,28,1,5,NO,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,NO,NOT APPLICABLE,YES,NO,NO,YES
java/AlloyTools@org.alloytools.alloy/gha_build.yml,gpt-5,24,1,4,NO,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,YES,NO,NO,YES,NOT APPLICABLE,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,NOT APPLICABLE,NO,NOT APPLICABLE,NO,NO,NOT APPLICABLE,YES,YES,NO,NOT APPLICABLE
